,Competition Name,Link
0,Copa Libertadores de América,https://fbref.com//en/comps/14/history/Copa-Libertadores-Seasons
1,Copa CONMEBOL Sudamericana,https://fbref.com//en/comps/205/history/Copa-Sudamericana-Seasons
2,UEFA Champions League,https://fbref.com//en/comps/8/history/Champions-League-Seasons
3,UEFA Europa League,https://fbref.com//en/comps/19/history/Europa-League-Seasons
4,UEFA Conference League,https://fbref.com//en/comps/882/history/Conference-League-Seasons
5,UEFA Super Cup,https://fbref.com//en/comps/122/history/UEFA-Super-Cup-Seasons
6,UEFA Women's Champions League,https://fbref.com//en/comps/181/history/Champions-League-Seasons
7,FIFA World Cup,https://fbref.com//en/comps/1/history/World-Cup-Seasons
8,FIFA Confederations Cup,https://fbref.com//en/comps/666/history/FIFA-Confederations-Cup-Seasons
9,International Friendlies (M),https://fbref.com//en/comps/218/history/Friendlies-M-Seasons
10,FIFA Women's World Cup,https://fbref.com//en/comps/106/history/Womens-World-Cup-Seasons
11,Olympics — Women's Tournament,https://fbref.com//en/comps/180/history/Olympics-W-Seasons
12,Algarve Cup,https://fbref.com//en/comps/214/history/Algarve-Cup-Seasons
13,International Friendlies (W),https://fbref.com//en/comps/217/history/Friendlies-W-Seasons
14,SheBelieves Cup,https://fbref.com//en/comps/212/history/SheBelieves-Cup-Seasons
15,Africa Cup of Nations,https://fbref.com//en/comps/656/history/Africa-Cup-of-Nations-Seasons
16,Africa Women Cup of Nations,https://fbref.com//en/comps/156/history/Africa-Women-Cup-of-Nations-Seasons
17,CONCACAF Gold Cup,https://fbref.com//en/comps/681/history/Gold-Cup-Seasons
18,CONCACAF W Championship,https://fbref.com//en/comps/157/history/CONCACAF-W-Championship-Seasons
19,CONMEBOL Copa América,https://fbref.com//en/comps/685/history/Copa-America-Seasons
20,Copa América Femenina,https://fbref.com//en/comps/158/history/Copa-America-Femenina-Seasons
21,OFC Nations Cup,https://fbref.com//en/comps/257/history/OFC-Nations-Cup-Seasons
22,OFC Women's Nations Cup,https://fbref.com//en/comps/159/history/OFC-Womens-Nations-Cup-Seasons
23,UEFA European Football Championship,https://fbref.com//en/comps/676/history/UEFA-Euro-Seasons
24,UEFA Nations League,https://fbref.com//en/comps/677/history/UEFA-Nations-League-Seasons
25,UEFA Women's Championship,https://fbref.com//en/comps/162/history/UEFA-Womens-Euro-Seasons
26,AFC Asian Cup,https://fbref.com//en/comps/664/history/Asian-Cup-Seasons
27,AFC Women's Asian Cup,https://fbref.com//en/comps/161/history/AFC-Womens-Asian-Cup-Seasons
28,Premier League,https://fbref.com//en/comps/9/history/Premier-League-Seasons
29,La Liga,https://fbref.com//en/comps/12/history/La-Liga-Seasons
30,Ligue 1,https://fbref.com//en/comps/13/history/Ligue-1-Seasons
31,Fußball-Bundesliga,https://fbref.com//en/comps/20/history/Bundesliga-Seasons
32,Serie A,https://fbref.com//en/comps/11/history/Serie-A-Seasons
33,Big 5 European Leagues Combined,https://fbref.com//en/comps/Big5/history/Big-5-European-Leagues-Seasons
34,Liga Profesional de Fútbol Argentina,https://fbref.com//en/comps/21/history/Liga-Profesional-Argentina-Seasons
35,A-League Men,https://fbref.com//en/comps/65/history/A-League-Men-Seasons
36,A-League Women,https://fbref.com//en/comps/196/history/A-League-Women-Seasons
37,Austrian Football Bundesliga,https://fbref.com//en/comps/56/history/Austrian-Bundesliga-Seasons
38,ÖFB Frauen-Bundesliga,https://fbref.com//en/comps/286/history/OFB-Frauen-Bundesliga-Seasons
39,Belgian Pro League,https://fbref.com//en/comps/37/history/Belgian-Pro-League-Seasons
40,Belgian Women's Super League,https://fbref.com//en/comps/296/history/Belgian-Womens-Super-League-Seasons
41,División de Fútbol Profesional,https://fbref.com//en/comps/74/history/Bolivian-Primera-Division-Seasons
42,Campeonato Brasileiro Série A,https://fbref.com//en/comps/24/history/Serie-A-Seasons
43,Brasileirão Feminino Série A1,https://fbref.com//en/comps/206/history/Serie-A1-Seasons
44,First Professional Football League,https://fbref.com//en/comps/67/history/Bulgarian-First-League-Seasons
45,Canadian Premier League,https://fbref.com//en/comps/211/history/Canadian-Premier-League-Seasons
46,Chilean Primera División,https://fbref.com//en/comps/35/history/Primera-Division-Seasons
47,Chinese Football Association Super League,https://fbref.com//en/comps/62/history/Chinese-Super-League-Seasons
48,Categoría Primera A,https://fbref.com//en/comps/41/history/Primera-A-Seasons
49,Croatian Football League,https://fbref.com//en/comps/63/history/Hrvatska-NL-Seasons
50,Czech First League,https://fbref.com//en/comps/66/history/Czech-First-League-Seasons
51,Danish Superliga,https://fbref.com//en/comps/50/history/Danish-Superliga-Seasons
52,Danish Women's League,https://fbref.com//en/comps/340/history/Kvindeligaen-Seasons
53,Liga Profesional Ecuador,https://fbref.com//en/comps/58/history/Serie-A-Seasons
54,Premier League,https://fbref.com//en/comps/9/history/Premier-League-Seasons
55,FA Women's Super League,https://fbref.com//en/comps/189/history/Womens-Super-League-Seasons
56,La Liga,https://fbref.com//en/comps/12/history/La-Liga-Seasons
57,Liga F,https://fbref.com//en/comps/230/history/Liga-F-Seasons
58,Veikkausliiga,https://fbref.com//en/comps/43/history/Veikkausliiga-Seasons
59,Ligue 1,https://fbref.com//en/comps/13/history/Ligue-1-Seasons
60,Première Ligue,https://fbref.com//en/comps/193/history/Premiere-Ligue-Seasons
61,Fußball-Bundesliga,https://fbref.com//en/comps/20/history/Bundesliga-Seasons
